c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22
,,,Burberry,,,,,,,,,,,,,,,,,Chanel,
,,,,,,,,,,,Brunelleschi,,,,,,,Gucci,,Loewe,Chanel
,,,Gucci ,,,,,,,,,,,,,,,,,Bottegga Veneta,Prada
,,,,,,,,,Dolce & Gabbana,,Dolce & Gabbana,,,,,,,Valentino,,YSL ,Chanel
,,,Balmain,,,,,,,,,,,,,,,,,Hermès,
,,,Chloe,,,,,,,,,,,,,,,,,Celine,Bottega Veneta
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Burberry,,,,,,,,,Louis Vuitton,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Valentino,,,,,,,,,,,Dior,,Chanel,
,,,,,Burberry,,,,,,,,,,,,,Chanel,,,
,,,,,,,,,,,Burberry,,,,,,,Christian Louboutin,,Louis Vuittion,
,,,,,Fendi,,,,,,,,,,,,,,,Gucci,
,,,Gucci,,,,,,,,,,,,,,,Gucci,,,
,,,,,,,,,,,Burberry,Burberry,"Hooded, Quilted",,,,,Valentino,Valentino,Gucci,Louis Vuitton
,,,Versace,,,,,,,,,,,,,,,,,Louis Vuittion,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Salvatore Ferrgamo,,,
Chanel,,,,,,,,,,,,,,,,,,Valentino,Chanel,,
,,,,,,,,,,,Burberry,,,,,,,Giannvito Rossi,,,
,,,,,,,,,,,Chanel,,,,,,,,,Hermes,
,,,,,,,,,,,Burberry,,,,,,,,,Hermes,
,,,Balmain,,,,,,,,,,,,,,,Louboutin ,,Chanel,Dior
,,,,,The Row,,,,,,,,,,,,,,,Hermes,
,,,,,,,,,,,Burberry,,,,,,,Gucci,,,
,,,,,,,,,,,Guccie,,,,,,,Valentino,,,
,,,,,Brunello Cucinelli,,,,,,,,,,,,,,,Hermes,
Alexander McQueen,,,,,,,,,,,,,,,,,,Saint Laurent,Jimmy Choo,Celine,Celine 
,,,,,,,,,,,,,,,,,,,,,
,,,Louis Vuitton,,,,,,,,,,,,,,,Louboutin ,,Louis Vuitton ,
Proenza Schouler,,,,,,,,,,,,,,,,,,Chanel,,,
,,,,,,,,,,,Gucci,,,,,,,,,Hermes ,
,,,,,,,,,,,Balmain,,,,,,,Manolo Blahnik,,,
,,,Gucci,,,,,,,,,,,,,,,,,Louis Vuitton ,
,,,,,,,,,,,,,,,,,,,,,
Gucci,,,,,,,,,,,,,,,,,,Saint Laurent,,Gucci ,
,,,,,,,,,,Nylon Shorts,Moncler,,,Versace,Cut out,,,Chanel,,Louis Vuitton,Prada
,,,,,,,,,,,,,,,,,,,,,
,,,Isabel Marant,,,,,,,,,,,,,,,,,Chanel,
,,,,,,,,,,,Christian Dior,,,,,,,Chanel,,Chanel,
Prada,,,,,,,,,,,Chanel,,,,,,,Prada,,Chanel,
,,,Gucci,,,,,,,,,,,,,,,,,Burberry,Louis Vuitton
,,,,,,,,,,,Balmain,,,,,,,,,Fendi,
,,,Balenciaga,,Christian Dior,,Balenciago,,,,,,,,,,,,,Prada,
,,,Versace,,Chanel,,,,,,Alexander McQueen ,,,,,,,Dior,Bottega Veneta,Hermes,
Lanvin,,,,,,,,,,,,,,,,,,Hermes,,Chanel,
,,,Burberry,,,,,,,,,,,,,,,,,Louis Vuitton,
,,,,,,,Gibenchy,,,,,,,,,,,Balenciaga,Chanel,Fendi,
